PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
203992,Bogdan Bogdanović,Bogdan,1610612746,LAC,32.0,24,12,12,0.5,597.8783333333333,83,224,0.371,44,146,0.301,30,34,0.882,12,54,66,49,37,20,6,5,57,39,240,-44,433.7,0,0,451.0,17,16,4,5,13,13,12,21,10,9,17,12,13,3,16,16,17,13,9,13,16,5,10,11,13,13,15,14,3,14,1
1627747,Caris LeVert,Caris,1610612737,ATL,30.0,26,13,13,0.5,691.9666666666667,145,301,0.482,46,136,0.338,52,72,0.722,19,77,96,75,25,24,14,12,51,52,388,20,704.7,1,0,681.0,16,14,5,5,10,8,8,11,9,11,13,8,9,12,13,11,11,8,13,12,10,14,8,9,9,6,9,8,3,9,1
203991,Clint Capela,Clint,1610612737,ATL,31.0,55,27,28,0.491,1176.4333333333334,218,390,0.559,0,1,0.0,52,97,0.536,174,295,469,62,47,34,53,36,106,89,488,-79,1357.8,11,0,1193.0,6,6,16,11,6,7,7,3,21,21,21,8,7,20,2,4,2,9,8,7,3,16,17,7,7,19,6,4,3,6,1
1631342,Daeqwon Plowden,Daeqwon,1610612737,ATL,26.0,6,3,3,0.5,71.55,16,25,0.64,9,17,0.529,2,2,1.0,4,7,11,2,4,0,0,0,10,1,43,29,55.2,0,0,65.0,20,20,2,5,20,20,20,1,17,19,2,20,20,1,20,20,20,20,20,20,20,1,3,20,20,5,20,14,3,20,1
1631223,David Roddy,David,1610612745,HOU,24.0,27,9,18,0.333,346.32,44,93,0.473,16,43,0.372,18,22,0.818,11,59,70,30,20,12,8,7,18,18,122,-71,291.0,0,0,278.0,15,18,10,21,18,18,18,12,16,16,9,16,16,7,17,14,16,16,15,16,14,9,4,17,18,18,18,14,3,18,1
1629631,De'Andre Hunter,De'Andre,1610612739,CLE,27.0,37,18,19,0.486,1063.6216666666667,227,492,0.461,97,247,0.393,151,176,0.858,27,118,145,57,59,31,5,28,88,153,702,-59,1010.5,1,0,1073.0,8,8,13,13,8,6,6,13,3,3,6,3,3,5,10,8,8,12,6,8,17,15,15,3,5,14,7,8,3,7,1
1631230,Dominick Barlow,Dominick,1610612737,ATL,22.0,35,13,22,0.371,374.99833333333333,60,113,0.531,7,27,0.259,21,33,0.636,35,50,85,19,5,9,16,7,47,29,148,-2,348.5,1,0,309.0,10,14,14,20,17,17,17,5,18,17,18,15,14,18,9,17,14,18,19,18,8,9,7,14,17,7,17,8,3,17,1
1630700,Dyson Daniels,Dyson,1610612737,ATL,22.0,76,37,39,0.487,2571.17,455,923,0.493,80,235,0.34,83,140,0.593,124,325,449,333,155,229,55,45,175,131,1073,-65,2808.3,9,0,2503.0,1,2,19,12,2,2,2,10,6,4,11,6,5,19,3,2,3,2,2,1,2,18,20,4,2,16,2,5,3,2,1
1629726,Garrison Mathews,Garrison,1610612737,ATL,28.0,47,21,26,0.447,829.5083333333333,102,257,0.397,85,218,0.39,64,78,0.821,13,74,87,60,31,26,15,4,81,68,353,-60,639.4,0,0,667.0,7,7,15,18,9,12,11,19,5,5,7,7,8,6,14,12,13,11,12,11,9,4,14,8,10,15,10,14,3,10,1
1627777,Georges Niang,Georges,1610612737,ATL,32.0,28,14,14,0.5,644.055,120,272,0.441,76,184,0.413,23,29,0.793,13,70,83,44,34,11,7,5,72,28,339,-4,524.6,0,0,578.0,14,13,6,5,12,10,10,15,7,7,5,14,15,8,14,13,15,14,10,17,15,5,13,15,11,8,13,14,3,11,1
